Cuenta;Valor;Tipo mov.
400000217;BAL* V*;Auxiliar
400000218;BUY*L.*;Auxiliar
400000221;BNP*AS*;Auxiliar
400000222;BIO*A *;Auxiliar
400000223;HNO*TO*;Auxiliar
400000224;BIO*L.*;Auxiliar
400000225;BAN*A.*;Auxiliar
400000226;SAL* S*;Auxiliar
400000227;BAN*TA*;Auxiliar
400000228;BAL* N*;Auxiliar
400000229;BRA*E *;Auxiliar
400000230;BAR* N*;Auxiliar
400000231;BAR*IE*;Auxiliar
400000232;B&D*IN*;Auxiliar
400000233;BAR* P*;Auxiliar
400000234;GDC*RI*;Auxiliar
400000235;BIL*M *;Auxiliar
400000236;BLA*RI*;Auxiliar
400000300;COM* A*;Auxiliar
400000301;NOV*SA*;Auxiliar
400000302;CAF* T*;Auxiliar
400000303;CAN* 5*;Auxiliar
400000304;CEN*TE*;Auxiliar
400000305;COM* S*;Auxiliar
400000309;CRE*S *;Auxiliar
400000314;IND* S*;Auxiliar
400000315;CON* M*;Auxiliar
400000316;CAS* C*;Auxiliar
400000318;CEN*TE*;Auxiliar
400000320;CON* A*;Auxiliar
400000322;COV*.L*;Auxiliar
400000323;CAR**;Auxiliar
400000324;CRE*AR*;Auxiliar
400000325;FEL*RN*;Auxiliar
400000326;COL*FI*;Auxiliar
400000327;CLE*GO*;Auxiliar
400000328;COM* C*;Auxiliar
400000329;CIA*RI*;Auxiliar
400000330;CES*A.*;Auxiliar
400000332;CER*TE*;Auxiliar
400000333;CEC*RV*;Auxiliar
400000334;CAN*AS*;Auxiliar
400000335;COM* V*;Auxiliar
400000337;COT* S*;Auxiliar
400000338;CEN* V*;Auxiliar
400000339;COM*E.*;Auxiliar
400000340;CUE*GA*;Auxiliar
400000341;CEF*TR*;Auxiliar
400000342;CON*EG*;Auxiliar
400000343;CLI*ET*;Auxiliar
400000344;COF*S.*;Auxiliar
400000345;CAL*SD*;Auxiliar
400000346;CRO*DE*;Auxiliar
400000347;C.M*IO*;Auxiliar
400000348;COV*S.*;Auxiliar
400000349;COV*, *;Auxiliar
400000350;CAP* E*;Auxiliar
400000351;CAR*L.*;Auxiliar
400000352;CAS* 2*;Auxiliar
400000353;CAN*EJ*;Auxiliar
400000354;CIA*UA*;Auxiliar
400000355;COP*L.*;Auxiliar
400000356;COM* F*;Auxiliar
400000357;CHA*CH*;Auxiliar
400000358;CHA*CH*;Auxiliar
400000359;CAI*NA*;Auxiliar
400000360;CAM* C*;Auxiliar
400000361;COM* V*;Auxiliar
400000362;COP*S.*;Auxiliar
400000363;COR*XP*;Auxiliar
400000364;CLI*VE*;Auxiliar
400000365;CAR*ES*;Auxiliar
400000366;VET*IA*;Auxiliar
400000367;COV*S.*;Auxiliar
400000368;COV*.L*;Auxiliar
400000369;CID**;Auxiliar
400000371;COV*DU*;Auxiliar
400000372;CAS*BI*;Auxiliar
400000373;COT*.C*;Auxiliar
400000374;SRC*EN*;Auxiliar
400000375;CIA*NA*;Auxiliar
400000376;COM* M*;Auxiliar
400000377;CAS*CE*;Auxiliar
400000378;CZ *NA*;Auxiliar
400000379;CNE*NT*;Auxiliar
400000380;CHI*S *;Auxiliar
400000381;CRI*IA*;Auxiliar
400000382;CEN* S*;Auxiliar
400000383;CIN*TI*;Auxiliar
400000384;CER*AN*;Auxiliar
400000385;CAJ*L *;Auxiliar
400000387;CIR*L.*;Auxiliar
400000388;CEP*A.*;Auxiliar
400000389;CUA*ME*;Auxiliar
400000390;CAR*S *;Auxiliar
400000391;S.C*JO*;Auxiliar
400000392;CHO*S *;Auxiliar
400000393;COL*CO*;Auxiliar
400000394;CAR*AR*;Auxiliar
400000395;COG*S.*;Auxiliar
400000396;COA*PR*;Auxiliar
400000397;CUE*RN*;Auxiliar
400000398;CAS*IX*;Auxiliar
400000399;CEN*E *;Auxiliar
400000400;CAS*S.*;Auxiliar
400000401;S.P*RI*;Auxiliar
400000403;DIB*RO*;Auxiliar
400000404;DIV*RM*;Auxiliar
400000406;SOC*S.*;Auxiliar
400000407;COM* D*;Auxiliar
400000408;DEP*NT*;Auxiliar
400000409;DOS*.L*;Auxiliar
400000411;DAV*IS*;Auxiliar
